name,code,sectors,products
원풍물산,008290,봉제의복 제조업,남성용신사복
웨이브일렉트로,095270,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",이동통신중계기용전력증폭기
웰크론,065950,직물직조 및 직물제품 제조업,"기능성 침구용품, 크리너, 필터, 방탄·방검복"
위지트,036090,특수 목적용 기계 제조업,LCD 반도체
유니온커뮤니티,203450,통신 및 방송 장비 제조업,지문인식출입통제기
유니테크노,241690,자동차 신품 부품 제조업,자동차 엔진파워트레인/모터 부품 제조 및 조립
유비쿼스홀딩스,078070,통신 및 방송 장비 제조업,"소프트웨어 개발,정보처리유선,무선통신기기,부품,컴퓨터 도소매,제조"
유신,054930,"건축기술, 엔지니어링 및 관련 기술 서비스업",토목설계 및 감리
유안타제5호스팩,336060,금융 지원 서비스업,금융 지원 서비스
유진스팩5호,331380,금융 지원 서비스업,합병
유티아이,179900,전자부품 제조업,카메라 윈도우
이스트소프트,047560,소프트웨어 개발 및 공급업,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W"
이엠넷,123570,광고업,온라인 검색광고 대행
이지웰,090850,소프트웨어 개발 및 공급업,선택적복리후생서비스
인베니아,079950,특수 목적용 기계 제조업,"Dry Etcher, 진공합착기, LCD Panel 검사장비, OLED용 진공합착기"
인텍플러스,064290,특수 목적용 기계 제조업,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등"
자비스,254120,특수 목적용 기계 제조업,자동엑스레이검사장비
자이글,234920,가정용 기기 제조업,적외선 가열 조리기
정상제이엘에스,040420,일반 교습 학원,어학교육업
제우스,079370,특수 목적용 기계 제조업,LCD제조용장비
제이엠티,094970,전자부품 제조업,LCD패널용PBA
제이웨이,058420,"영화, 비디오물, 방송프로그램 제작 및 배급업","VOD서비스, 대리운전프로그램"
제일제강,023440,1차 철강 제조업,"연강선재, 경강선재, CHQ외"
제주반도체,080220,반도체 제조업,"모바일용 LP DDR SDRAM, CRAM, SRAM"
젬백스,082270,특수 목적용 기계 제조업,"ChemicalAirFilter,GasScrubber"
조아제약,034940,의약품 제조업,"의약품,의약부외품,보건보조식품,위생용품의제조판매"
주성엔지니어링,036930,특수 목적용 기계 제조업,LP CVD
지엔씨에너지,119850,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","비상발전기, 소형열병합발전설비, 바이오가스발전설비"
지엔코,065060,봉제의복 제조업,"캐쥬얼의류(SPORT-REPLAY, Thursday Island)"
캐스텍코리아,071850,자동차 신품 부품 제조업,자동차용 터보차저 부품
케이비제20호스팩,342550,금융 지원 서비스업,금융지원서비스
케이피엠테크,042040,기타 화학제품 제조업,"표면처리약품, 전자동 도금설비"
케이피티유,054410,기타 금속 가공제품 제조업,"Vacuum Treatment, Plasma Surface Treatment"
켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업",항공가공품 및 조립품
코렌,078650,사진장비 및 광학기기 제조업,카메라폰용 렌즈
코스온,069110,기타 화학제품 제조업,화장품
코윈테크,282880,특수 목적용 기계 제조업,"공정 자동화 설비 (2차전지, 석유화학, 반도체 및 디스플레이)"
코프라,126600,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩
키네마스터,139670,소프트웨어 개발 및 공급업,"NexMFW, NexPlayer EMB"
토탈소프트,045340,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등)
투비소프트,079970,소프트웨어 개발 및 공급업,"MiPlatform, X Platform"
트루윈,105550,전자부품 제조업,"자동차용 센서(APS, TPS, IAPS, SLS)"
특수건설,026150,토목 건설업,보링
티앤알바이오팹,246710,기초 의약물질 및 생물학적 제제 제조업,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제"
티에스이,131290,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","Probe Card, Test Interface Board, LED Test Equipment"
파세코,037070,가정용 기기 제조업,"석유스토브, 식기건조기,식기세척기"
파커스,065690,반도체 제조업,"프린터 부품, LED 조명기기,및 헬스케어 제품 제조업체"
판타지오,032800,창작 및 예술관련 서비스업,교육서비스
패션플랫폼,225590,봉제의복 제조업,여성복
푸드웰,005670,"과실, 채소 가공 및 저장 처리업","깐밤, 통조림류, 딸기시럽류, 음료제품 등"
프로스테믹스,203690,기초 의약물질 및 생물학적 제제 제조업,화장품
피델릭스,032580,반도체 제조업,PSRAM 및 LPSDRAM
피에스엠씨,024850,전자부품 제조업,리드프레임
하나금융15호스팩,341160,금융 지원 서비스업,기업인수합병
하이즈항공,221840,"항공기,우주선 및 부품 제조업",B787 날개구조물 등
한국맥널티,222980,기타 식품 제조업,커피 및 의약품
한국코퍼레이션,050540,기타 사업지원 서비스업,"CRM서비스,CRM솔루션"
한양디지텍,078350,반도체 제조업,메모리 모듈
한일진공,123840,특수 목적용 기계 제조업,진공장비
한일화학,007770,기초 화학물질 제조업,산화아연
해덕파워웨이,102210,선박 및 보트 건조업,선박방향타
해마로푸드서비스,220630,음·식료품 및 담배 도매업,"햄버거, 치킨, 식음료유통"
화성밸브,039610,일반 목적용 기계 제조업,"가스밸브, 매몰용접용 볼밸브, 온수분배기"
화이브라더스코리아,204630,창작 및 예술관련 서비스업,창작 및 예술관련 서비스업
휴맥스,115160,영상 및 음향기기 제조업,셋톱박스
나눔테크,244880,의료용 기기 제조업,"자동심장충격기, 골밀도진단기"
